Date,MSCI World Gross Index USD,MSCI China Gross Index USD,MSCI United States Gross Index USD,MSCI Canada Gross Index USD,MSCI Japan Gross Index USD,MSCI India Gross Index USD,MSCI Malaysia Gross Index USD,MSCI Indonesia Gross Index USD,MSCI Taiwan Gross Index USD,MSCI Korea Gross Index USD,MSCI Thailand Gross Index USD,MSCI Australia Gross Index USD,MSCI United Kingdom Gross Index USD,MSCI Brazil Gross Index USD,MSCI Hong Kong Gross Index USD,MSCI Greece Gross Index USD,MSCI Philippines Gross Index USD,MSCI Russia Gross Index USD,MSCI Peru Gross Index USD,MSCI Poland Gross Index USD,MSCI New Zealand Gross Index USD,MSCI Germany Gross Index USD,MSCI Chile Gross Index USD,MSCI Singapore Gross Index USD,MSCI Hungary Gross Index USD,MSCI Czech Republic Gross Index USD,MSCI Spain Gross Index USD,MSCI United Arab Emirates Gross Index USD,MSCI Colombia Gross Index USD,MSCI Mexico Gross Index USD,MSCI Turkey Gross Index USD,MSCI Israel Gross Index USD,MSCI Egypt Gross Index USD,MSCI Italy Gross Index USD,MSCI France Gross Index USD,MSCI Qatar Gross Index USD,MSCI Pakistan Gross Index USD,MSCI Argentina Gross Index USD,MSCI Ireland Gross Index USD,MSCI Sweden Gross Index USD,MSCI Belgium Gross Index USD,MSCI Switzerland Gross Index USD,MSCI Portugal Gross Index USD,MSCI Norway Gross Index USD,MSCI Austria Gross Index USD,MSCI Netherlands Gross Index USD,MSCI Finland Gross Index USD,MSCI Denmark Gross Index USD,MSCI Morocco Gross Index USD,MSCI Kuwait Gross Index USD,MSCI SRI Lanka Gross Index USD,MSCI Romania Gross Index USD,MSCI Jordan Gross Index USD,MSCI Vietnam Gross Index USD,MSCI Bulgaria Gross Index USD,MSCI Ukraine Gross Index USD,MSCI Mauritius Gross Index USD,MSCI Croatia Gross Index USD,MSCI Serbia Gross Index USD,MSCI Ghana Gross Index USD,MSCI Slovenia Gross Index USD,MSCI Kenya Gross Index USD,MSCI Estonia Gross Index USD,MSCI Bahrain Gross Index USD,MSCI Botswana Gross Index USD,MSCI Nigeria Gross Index USD,MSCI Lithuania Gross Index USD,MSCI Tunisia Gross Index USD,MSCI Oman Gross Index USD,MSCI Zimbabwe Gross Index USD,MSCI Kazakhstan Gross Index USD,MSCI Bangladesh Gross Index USD,MSCI Bosnia And Herzegovina Gross Index USD,MSCI Jamaica Gross Index USD,MSCI Lebanon Gross Index USD
1/3/2000,3735.506788,37.848377,4320.30907,2206.248666,5806.56775,176.756637,251.400283,,392.892964,188.449487,191.387909,1271.912065,4947.956883,1367.425514,22065.10023,1324.179568,313.187579,231.056539,191.001397,598.547089,162.837434,4094.951946,1404.523462,5667.413597,348.397343,86.656592,2462.861787,,92.59916,2312.797944,872.163759,187.837106,353.763984,984.159215,4817.904425,,68.379788,,474.503832,14989.06245,8236.47049,5290.653675,202.482843,1746.858101,353.417805,1447.557695,6051.816715,243.016521,,,73.903063,,103.893265,,,,,,,,,,,,,,,,,,,,,,
1/4/2000,3620.355244,39.040036,4147.333197,2140.324907,5712.302457,181.576097,251.104684,,420.478544,203.487201,196.515538,1255.31863,4806.989255,1277.778905,21770.25953,1302.2692,314.362119,231.862348,188.270464,584.678687,161.920423,4051.596736,1388.060968,5583.211896,353.454556,87.385212,2426.738679,,92.671479,2138.089402,1017.065317,177.582786,358.449899,973.785975,4677.125335,,69.598215,,471.838061,14791.27427,8000.256229,5168.981125,196.290925,1754.384815,358.9346,1349.750801,5987.298953,243.963117,,,73.757332,,104.393156,,,,,,,,,,,,,,,,,,,,,,
1/5/2000,3571.211205,37.452348,4158.507443,2105.612632,5462.380463,177.441572,247.767019,,420.591406,190.143079,181.574797,1226.350935,4719.427304,1302.017637,20284.249,1257.009135,299.178647,232.01648,188.99108,555.021671,156.294443,4014.884986,1389.792296,5277.567556,340.203161,86.803727,2373.389984,,94.514003,2168.364982,979.71259,174.218174,348.266375,958.279181,4535.517601,,69.598215,,469.544948,14100.02683,7742.219759,5121.322239,191.040919,1762.931952,348.83665,1235.729902,5865.486866,244.155629,,,71.540273,,105.075326,,,,,,,,,,,,,,,,,,,,,,
1/6/2000,3530.913508,37.18393,4123.824419,2082.709669,5254.735588,178.911609,246.642934,,420.121996,183.498827,170.362185,1216.661357,4687.409345,1295.112419,19398.77157,1258.660973,295.397011,239.289928,188.1216,573.01167,152.246191,3989.586052,1390.110563,5159.061943,342.082769,88.568974,2376.145866,,96.250189,2144.028954,919.582188,172.072109,354.820242,942.338592,4516.182565,,70.585687,,469.319367,14101.79967,7760.944834,5188.152289,197.191702,1764.978995,345.747521,1237.164776,5920.049583,244.037626,,,70.165912,,105.851285,,,,,,,,,,,,,,,,,,,,,,
1/7/2000,3614.507329,39.050713,4266.32826,2190.973967,5238.603923,175.638347,246.642934,,414.280839,186.660693,175.767956,1229.393332,4689.149646,1319.838632,19769.03673,1256.453862,299.858678,239.340291,189.916767,603.196992,155.285025,4154.863804,1399.265527,5310.704155,345.213825,89.870523,2418.838173,,98.660837,2264.271865,892.855196,173.58079,354.820242,966.651652,4570.47613,,70.558483,,468.371667,14167.12297,7908.197255,5273.20584,200.427823,1797.41337,345.519471,1282.455033,5915.466242,242.298478,,,70.175552,,105.851285,,,,,,,,,,,,,,,,,,,,,,
1/8/2000,3614.507329,39.050713,4266.32826,2190.973967,5238.603923,175.638347,246.642934,,414.280839,186.660693,175.767956,1229.393332,4689.149646,1319.838632,19769.03673,1256.453862,299.858678,239.340291,189.916767,603.196992,155.285025,4154.863804,1399.265527,5310.704155,345.213825,89.870523,2418.838173,,98.660837,2264.271865,892.855196,173.58079,354.820242,966.651652,4570.47613,,70.558483,,468.371667,14167.12297,7908.197255,5273.20584,200.427823,1797.41337,345.519471,1282.455033,5915.466242,242.298478,,,70.175552,,105.851285,,,,,,,,,,,,,,,,,,,,,,
1/9/2000,3614.507329,39.050713,4266.32826,2190.973967,5238.603923,175.638347,246.642934,,414.280839,186.660693,175.767956,1229.393332,4689.149646,1319.838632,19769.03673,1256.453862,299.858678,239.340291,189.916767,603.196992,155.285025,4154.863804,1399.265527,5310.704155,345.213825,89.870523,2418.838173,,98.660837,2264.271865,892.855196,173.58079,354.820242,966.651652,4570.47613,,70.558483,,468.371667,14167.12297,7908.197255,5273.20584,200.427823,1797.41337,345.519471,1282.455033,5915.466242,242.298478,,,70.175552,,105.851285,,,,,,,,,,,,,,,,,,,,,,
1/10/2000,3654.604792,39.77682,4319.110233,2234.762583,5243.327634,178.235001,246.642934,,427.609478,193.400412,181.156895,1254.051342,4751.069309,1376.966486,20116.63357,1241.352776,306.634559,248.112059,189.174632,631.483152,158.024579,4232.450975,1421.616138,5344.345472,355.386322,91.435402,2426.060162,,98.855512,2373.690868,890.47709,185.271702,354.897913,955.898445,4650.087715,,70.619721,,475.806481,14534.22626,8040.650848,5261.355463,203.477202,1809.91927,351.949029,1307.329978,6018.387683,242.025278,,,67.815492,,105.851285,,,,,,,,,,,,,,,,,,,,,,
1/11/2000,3642.14994,38.369894,4260.026958,2197.405624,5432.9557,170.586822,256.331205,,417.570285,191.266496,178.233216,1292.819729,4721.949783,1341.149519,20101.10032,1210.828761,301.459971,232.450044,190.206203,631.279435,157.328252,4226.918489,1415.232826,5253.277342,351.232442,91.748538,2400.726485,,98.944244,2296.294547,914.041464,183.678355,363.080472,958.710651,4637.918824,,70.555085,,484.978631,14721.31198,7939.717365,5255.162734,204.071317,1795.989199,347.507022,1296.333801,6062.155221,242.465129,,,67.098511,,105.847089,,,,,,,,,,,,,,,,,,,,,,
1/12/2000,3620.321634,37.996619,4235.483027,2163.889272,5372.714392,176.219817,264.757747,,427.714843,189.339441,178.791701,1258.801705,4720.575871,1334.916167,20096.12833,1212.373138,298.033548,238.823511,192.89977,615.658538,153.435077,4236.631,1437.51918,5336.480016,351.51649,90.513052,2362.219851,,101.036273,2288.666571,940.557518,182.127198,363.307131,969.96216,4594.27858,,74.488897,,486.340173,14686.56934,7822.853093,5256.425388,203.582932,1754.31365,349.533594,1283.568214,5948.523265,241.965658,,,68.749171,,105.304657,,,,,,,,,,,,,,,,,,,,,,
