a,negskew,duvol,Date,year,month,country,GDP,corruption,governmentEffectiveness,politicalStability,regulatoryQuality,ruleOfLaw,voiceAccountability,geopoliticalRisk,gdpPerCapita,gdpGrowth,negskew_annual,duvol_annual
1/1/2000,0.407032021,0.164937374,1/1/2000,2000,0,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,103.7854301,1767.833627,8.491508492,0.604328441,0.456510524
2/1/2000,-0.365089312,-0.03383897,2/1/2000,2000,1,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,119.4049195,1767.833627,8.491508492,0.604328441,0.456510524
3/1/2000,0.61514613,0.152100613,3/1/2000,2000,2,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,142.6361668,1767.833627,8.491508492,0.604328441,0.456510524
4/1/2000,-2.153999324,-0.655184487,4/1/2000,2000,3,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,121.0408303,1767.833627,8.491508492,0.604328441,0.456510524
5/1/2000,-0.377451264,-0.220922137,5/1/2000,2000,4,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,98.18088897,1767.833627,8.491508492,0.604328441,0.456510524
6/1/2000,-0.738951164,-0.176595855,6/1/2000,2000,5,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,95.92661481,1767.833627,8.491508492,0.604328441,0.456510524
7/1/2000,0.109268882,0.107814962,7/1/2000,2000,6,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,102.3039741,1767.833627,8.491508492,0.604328441,0.456510524
8/1/2000,0.962424675,0.096112393,8/1/2000,2000,7,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,92.19707349,1767.833627,8.491508492,0.604328441,0.456510524
9/1/2000,0.00525363,-0.094152002,9/1/2000,2000,8,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,83.58018245,1767.833627,8.491508492,0.604328441,0.456510524
10/1/2000,-0.134739099,-0.149725421,10/1/2000,2000,9,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,108.7863307,1767.833627,8.491508492,0.604328441,0.456510524
11/1/2000,0.849496558,0.11663216,11/1/2000,2000,10,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,90.65101187,1767.833627,8.491508492,0.604328441,0.456510524
12/1/2000,-1.092398369,-0.364704961,12/1/2000,2000,11,China,3689.967255,-0.22,-0.108963028,-0.208933994,-0.34,-0.53,-1.384080529,104.8141176,1767.833627,8.491508492,0.604328441,0.456510524
1/1/2001,-0.122611042,0.266630256,1/1/2001,2001,12,China,3968.773863,,,,,,,116.7411308,1901.40763,8.33991055,-0.004816596,0.078507054
2/1/2001,0.399953528,0.227237301,2/1/2001,2001,13,China,3968.773863,,,,,,,108.8819839,1901.40763,8.33991055,-0.004816596,0.078507054
3/1/2001,1.439641513,0.582927071,3/1/2001,2001,14,China,3968.773863,,,,,,,110.8660241,1901.40763,8.33991055,-0.004816596,0.078507054
